compound_stem,SMILES,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
A01365940,CC(C)N1CCC(CC1)N1CCN(Cc2ccc3nsnc3c2)CC1CCO,0,0,0,0,0,0,0,0,0,0,0,0,0
A01377705,CC1CCCCC1NC(=O)CCCCn1c(=O)[nH]c2ccsc2c1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01397745,CN1CC(C(C1)c1ccc(Cl)cc1)C(=O)c1cccs1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01421526,COc1ccc(cc1)C1CC1\C(C)=N\OC(=O)c1cccs1,0,0,0,0,0,0,0,0,0,0,1,0,0
A01439638,CN(C)C(=O)N1CCc2ncnc(C3CCOC3)c2CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01464798,COCc1cnc2C(C)N(CCn12)C(=O)c1cnc(C)cn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01470993,CC1(Oc2cccnc2NC1=O)C(=O)NCCCN1CCOCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01500433,Cc1ccccc1N1CC2(CCN(C2)C(=O)C2CC2)CC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
A01514116,CCCS(=O)(=O)NCC1COCc2c(C)nnn2C1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01546804,Cc1cccc(n1)N1CCC2(C1)CCCN(C2)C(=O)c1cnccn1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01563671,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,1,1,1,1,1,1,1,1,1,1,1,1,1
A01580621,CC1CN(CCOCCSc2ccccc2)CC(C)O1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01606051,Cn1cc(cn1)C1COC2(C1)CCCN(C2)C(=O)c1ccccc1F,0,0,0,0,0,0,0,0,0,0,0,0,0
A01634199,CC1CC(C)CN(C1)C(=O)COc1ccc(cc1)-c1nnco1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01636364,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0,0,0,0,1,0,0,0,0,0,0,0,1
A01643497,COC1CC2(CCN(CC(O)=O)CC2)c2cc(F)ccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01659363,C\N=C1/SC(CC(=O)Nc2ccccc2F)C(=O)N1C,0,0,0,0,0,0,0,0,0,0,0,0,0
A01662948,COCCC(=O)C1Cc2nc(sc2N1C(C)C)-c1cccc(OC)c1,1,1,0,1,1,1,0,1,0,0,1,0,1
A01682817,COc1ccc(OCc2cc(no2)C(=O)N2CCCC(O)C2)c2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
A01684828,COCCCN(C(C)c1ccncc1)C(=O)Nc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01702378,CC1Cc2cc(ccc2N1C(C)=O)S(=O)(=O)N1CCCC(C1)C(=O)N1CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0
